RUNID,RESPNUM,CCGID,LATECODE,DESTMARK,DESTGEO,TERM,STRATA,ATYPE,AIRLINE,DEST,GATE,INTDATE,Q1,Q1A,Q1MIL,DEPTIME,PASSTIME,PASSMIN,Q2_1,Q3_1,Q4A,Q4B,Q4C,Q5,Q6,Q7,SAQ,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8G,Q8H,Q8I,Q8J,Q8K,Q8L,Q8M,Q8N,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q11,Q12,Q13,Q13A1,Q13A2,Q13A3,Q14,Q15A,Q15B,Q16,Q17,Q18STATE,Q18ZIP,Q18COUNTRY,HOME,Q19,Q20,Q21,MAIL,LANG
96,4026,3135,1,2,8,4,2,1,28,SEOUL,100,5,73000,1,7:30,11:00,03:30,210,4,3,2,2,2,1,2,2,1,4,6,5,5,4,4,4,5,4,6,6,6,6,5,5,6,6,6,5,5,4,2,,,,,11,5,5,2,4,,,MONGOLIA,16,2,2,0,1,1
96,4027,3136,1,2,8,4,2,1,28,SEOUL,100,5,84500,1,8:45,11:00,02:15,135,2,3,2,1,1,2,2,1,1,5,5,5,5,5,5,6,6,6,6,6,6,6,5,5,6,6,6,5,5,5,2,,,,,11,5,6,2,4,TX,76018,US,11,2,2,1,1,1
96,4028,3137,1,2,8,4,2,1,28,SEOUL,100,5,90000,1,9:00,11:00,02:00,120,1,6,2,1,1,2,2,2,2,4,3,4,4,5,5,6,6,6,6,6,6,6,4,4,6,6,6,3,3,4,2,,,,,17,4,4,2,2,CA,95003,US,10,7,1,2,1,1
96,4029,3138,1,2,8,4,2,1,28,SEOUL,100,5,80000,1,8:00,11:00,03:00,180,1,7,1,2,2,2,2,2,2,4,4,4,4,3,4,5,5,5,6,4,6,6,5,5,6,5,6,5,5,4,2,,,,,5,4,5,2,3,SC,21223,US,12,2,1,1,1,1
96,4030,3139,1,2,8,4,2,1,28,SEOUL,100,5,85500,1,8:55,11:00,02:05,125,1,3,0,0,1,1,2,3,2,3,3,3,3,1,3,3,3,6,6,6,6,6,3,4,6,6,6,6,4,4,2,,,,,11,4,6,2,4,,,KOREA,16,4,1,2,1,1
96,4031,3140,1,2,8,4,2,1,28,SEOUL,100,5,91000,1,9:10,11:00,01:50,110,1,3,2,1,2,1,0,3,2,5,5,5,4,5,5,6,6,4,6,4,6,4,4,5,5,5,5,5,5,5,2,,,,,11,4,6,2,4,MA,2726,US,12,7,1,4,1,1
96,4032,3141,1,2,8,4,2,1,28,SEOUL,100,5,93000,1,9:30,11:00,01:30,90,2,3,2,2,2,2,2,2,2,3,6,6,2,2,2,6,2,6,6,6,6,6,4,5,5,5,5,5,5,3,2,,,,,11,2,6,1,4,,,SOUTH KOREA,16,2,1,1,1,1
96,4033,3142,1,2,8,4,2,1,28,SEOUL,100,5,80000,1,8:00,11:00,03:00,180,2,5,1,1,1,2,2,1,2,3,3,3,4,4,4,3,3,4,3,4,6,4,4,4,2,4,4,3,4,4,2,,,,,5,4,4,2,3,,,SOUTH KOREA,16,3,1,1,1,1
96,4034,3143,1,2,8,4,2,1,28,SEOUL,100,5,90000,1,9:00,11:00,02:00,120,3,3,2,1,2,2,1,3,2,5,3,4,5,4,4,4,5,6,6,6,6,6,4,5,6,6,6,3,3,4,2,,,,,11,5,4,2,4,,,SOUTH KOREA,16,3,2,2,1,1
96,4035,3144,1,2,8,4,2,1,28,SEOUL,100,5,80000,1,8:00,11:00,03:00,180,3,6,1,1,2,2,2,2,2,3,3,2,4,4,5,3,3,4,6,6,6,6,4,3,4,6,6,6,4,4,3,,,,,5,4,3,2,3,,,KOREA,16,2,2,2,1,1
96,4036,3145,1,2,8,4,2,1,28,SEOUL,100,5,90000,1,9:00,11:00,02:00,120,1,9,1,1,2,2,1,3,2,4,3,3,4,4,4,6,6,4,4,4,6,4,4,4,6,4,4,4,4,5,2,,,,,9,4,2,1,1,CA,94952,US,7,6,1,0,1,1
96,4037,3146,1,2,8,4,2,1,28,SEOUL,100,5,91500,1,9:15,11:00,01:45,105,1,3,2,1,2,1,2,2,2,5,3,4,5,5,4,6,6,6,6,6,6,6,4,5,6,6,6,6,5,5,2,,,,,11,5,6,2,4,MD,21012,US,12,6,1,4,1,1
96,4038,3147,1,2,8,4,2,1,28,SEOUL,100,5,93000,1,9:30,11:00,01:30,90,1,3,2,2,2,2,2,2,2,0,4,4,4,5,4,6,6,3,6,4,6,3,4,4,6,4,3,4,4,5,2,,,,,11,4,6,2,4,MD,,US,12,5,1,4,1,1
96,4039,3148,1,2,8,4,2,1,28,SEOUL,100,5,83000,1,8:30,11:00,02:30,150,1,1,1,1,2,1,2,1,2,4,4,3,3,3,4,6,6,3,4,4,6,4,4,5,6,3,3,4,3,3,2,,,,,7,3,3,1,1,CA,94086,US,4,6,1,3,1,1
96,4040,3149,1,2,8,4,2,1,28,SEOUL,100,5,80000,1,8:00,11:00,03:00,180,1,3,2,1,2,2,2,2,2,4,4,3,5,4,5,6,6,0,0,0,0,0,0,4,6,6,6,4,4,5,2,,,,,11,5,6,2,4,TX,78154,US,11,3,2,2,1,1
96,4041,3150,1,2,8,4,2,1,28,SEOUL,100,5,90000,1,9:00,11:00,02:00,120,3,3,0,0,1,2,2,1,2,4,3,3,4,4,4,6,4,6,6,6,6,6,4,4,6,6,6,3,3,4,2,,,,,11,6,6,3,4,CO,80920,US,10,5,2,2,1,1
96,4042,3151,1,2,8,4,2,1,28,SEOUL,100,5,90000,1,9:00,11:00,02:00,120,1,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,,,,,11,5,4,2,4,,,,99,2,1,0,1,1
96,4043,3152,1,2,8,4,2,1,28,SEOUL,100,5,91000,1,9:10,11:00,01:50,110,3,3,2,2,2,2,2,1,2,3,3,4,4,3,3,3,3,3,6,6,6,6,4,3,6,6,6,3,3,4,2,,,,,11,4,6,3,4,,,KOREA,16,2,2,0,1,1
98,2443,2322,1,4,2,1,2,1,12,ATLANTA,40,5,113000,1,11:30,14:20,02:50,170,3,6,1,1,2,2,2,3,1,2,3,4,3,3,3,1,1,2,6,3,6,1,2,3,6,4,3,3,2,4,2,,,,,4,4,2,1,3,GA,31047,US,12,6,2,4,1,1
98,2444,2323,1,4,2,1,2,1,12,ATLANTA,40,5,124000,2,12:40,14:20,01:40,100,2,9,1,0,1,2,2,3,1,4,4,3,3,4,4,3,6,4,6,4,6,3,4,4,6,4,2,4,3,4,2,,,,,7,4,4,2,3,GA,30022,US,12,6,1,3,1,1
98,2445,2324,1,4,2,1,2,1,12,ATLANTA,40,5,113000,1,11:30,14:20,02:50,170,1,3,1,2,2,2,2,2,1,6,6,6,4,4,4,6,6,6,6,6,6,6,3,2,6,6,6,6,3,5,2,,,,,11,5,5,2,4,,,NEW ZEALAND,19,4,1,4,1,1
98,2446,2325,1,4,2,1,2,1,12,ATLANTA,40,5,120000,2,12:00,14:20,02:20,140,1,7,1,2,2,1,2,1,1,6,6,4,4,6,5,3,3,5,6,6,6,6,4,4,6,6,6,4,4,5,2,,,,,5,4,4,2,3,,,FRANCE,15,3,1,2,1,1
98,2447,2326,1,4,2,1,2,1,12,ATLANTA,40,5,123000,2,12:30,14:20,01:50,110,2,2,1,2,2,2,2,1,1,3,3,4,4,6,5,6,6,5,4,6,6,6,4,5,5,6,6,6,5,5,2,,,,,3,5,5,2,3,GA,30094,US,12,2,1,1,1,1
98,2448,2327,1,4,2,1,2,1,12,ATLANTA,40,5,120000,2,12:00,14:20,02:20,140,1,2,1,0,1,2,2,3,2,4,3,3,4,3,4,6,6,0,3,3,3,6,4,3,3,4,6,0,3,4,2,,,,,2,4,4,2,1,CA,,US,5,3,1,0,1,1
98,2449,2328,1,4,2,1,2,1,12,ATLANTA,40,5,10000,2,13:00,14:20,01:20,80,3,2,1,0,1,0,0,3,2,3,3,3,4,4,4,6,6,3,6,6,6,6,4,5,6,4,6,4,4,5,2,,,,,2,5,5,2,1,CA,94531,US,5,4,2,4,1,1
98,2450,2329,1,4,2,1,2,1,12,ATLANTA,40,5,110000,1,11:00,14:20,03:20,200,2,3,1,2,1,2,2,1,2,2,3,3,4,4,4,4,4,6,6,6,6,6,4,4,6,6,6,4,4,4,2,,,,,11,5,4,1,4,GA,,US,12,3,2,0,1,1
98,2451,2330,1,4,2,1,2,1,12,ATLANTA,40,5,120000,2,12:00,14:20,02:20,140,5,6,1,0,0,2,2,1,2,4,3,2,3,3,3,3,3,6,6,6,6,6,3,4,6,6,6,3,3,4,2,,,,,5,4,1,1,3,GA,30360,US,12,7,1,4,1,1
98,2452,2331,1,4,2,1,2,1,12,ATLANTA,40,5,121500,2,12:15,14:20,02:05,125,2,9,2,1,2,2,2,2,2,5,6,4,3,4,3,6,6,3,6,4,6,4,4,5,6,5,4,6,4,4,2,,,,,24,4,3,2,3,GA,30115,US,12,6,1,4,1,1
98,2453,2332,1,4,2,1,2,1,12,ATLANTA,40,5,110000,1,11:00,14:20,03:20,200,5,6,1,2,2,2,2,1,2,4,3,4,5,5,5,5,5,5,6,5,6,5,4,5,6,5,5,6,5,4,1,5,5,6,,5,6,3,2,3,,,PANAMA,14,3,1,3,1,1
98,2454,2333,1,4,2,1,2,1,12,ATLANTA,40,5,121500,1,12:15,14:20,02:05,125,3,2,1,0,0,2,2,1,2,6,4,6,5,4,4,6,6,5,5,6,6,6,5,5,6,6,6,5,5,4,2,,,,,6,5,0,2,3,,,SINGAPORE,16,6,2,1,1,1
98,2455,2334,1,4,2,1,2,1,12,ATLANTA,40,5,124500,2,12:45,14:20,01:35,95,1,9,1,2,1,1,2,1,2,3,3,4,3,3,0,6,6,4,6,4,6,3,4,3,6,4,3,3,3,3,2,,,,,6,5,5,2,3,GA,30308,US,12,5,1,3,1,1
98,2456,2335,1,4,2,1,2,1,12,ATLANTA,40,5,10000,2,13:00,14:20,01:20,80,3,5,2,2,2,2,2,3,2,6,2,2,4,3,3,2,2,4,6,3,6,6,3,3,6,6,6,6,1,4,2,,,,,1,5,2,1,3,GA,30097,US,12,2,2,0,1,1
98,2457,2336,1,4,2,1,2,1,12,ATLANTA,40,5,124000,2,12:40,14:20,01:40,100,2,2,1,1,2,2,2,1,2,3,4,3,5,5,5,6,6,4,4,4,4,4,4,4,6,6,6,6,3,4,3,,,,,6,5,5,2,3,TN,37421,US,11,2,2,4,1,1
98,2458,2337,1,4,2,1,2,1,12,ATLANTA,40,5,123000,2,12:30,14:20,01:50,110,3,2,1,1,2,2,2,1,2,4,4,4,5,5,5,5,5,5,6,6,6,6,4,5,6,6,6,6,5,4,2,,,,,9,5,4,2,3,GA,30094,US,12,5,2,2,1,1
